,Date Time,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg)
419614,25.12.2016 12:00:00,995.15,8.14,281.69,4.06,75.4,10.84,8.17,2.67,5.13,8.21,1228.56,5.03,8.53,210.9
419615,25.12.2016 12:10:00,995.13,8.38,281.93,4.16,74.7,11.02,8.23,2.79,5.16,8.27,1227.46,4.39,7.25,210.9
419616,25.12.2016 12:20:00,995.08,8.52,282.08,4.28,74.6,11.13,8.3,2.83,5.2,8.34,1226.76,4.01,7.41,217.6
419617,25.12.2016 12:30:00,995.11,8.56,282.12,4.26,74.3,11.16,8.29,2.87,5.2,8.33,1226.63,3.0,6.29,212.8
419618,25.12.2016 12:40:00,995.02,8.58,282.14,4.32,74.5,11.17,8.32,2.85,5.22,8.36,1226.42,3.92,7.49,209.3
419619,25.12.2016 12:50:00,994.91,8.48,282.05,4.37,75.3,11.09,8.35,2.74,5.24,8.4,1226.7,5.7,9.13,211.0
419620,25.12.2016 13:00:00,994.9,8.4,281.97,4.45,76.1,11.03,8.4,2.64,5.27,8.44,1227.02,4.67,8.17,211.5
419621,25.12.2016 13:10:00,994.98,8.43,282.0,4.55,76.5,11.06,8.46,2.6,5.3,8.5,1226.96,3.62,6.29,211.0
419622,25.12.2016 13:20:00,995.03,8.6,282.16,4.6,75.9,11.19,8.49,2.7,5.32,8.53,1226.26,3.49,6.09,225.1
419623,25.12.2016 13:30:00,995.08,8.79,282.35,4.69,75.4,11.33,8.54,2.79,5.36,8.59,1225.47,1.97,5.05,242.4
419624,25.12.2016 13:40:00,995.05,8.92,282.48,4.74,75.0,11.43,8.57,2.86,5.38,8.62,1224.86,2.64,5.29,242.2
419625,25.12.2016 13:50:00,994.99,8.94,282.51,4.78,75.1,11.45,8.6,2.85,5.39,8.64,1224.68,3.08,6.17,222.9
419626,25.12.2016 14:00:00,995.03,8.92,282.48,4.84,75.5,11.43,8.63,2.8,5.41,8.67,1224.8,3.29,5.85,240.2
419627,25.12.2016 14:10:00,994.97,8.86,282.43,4.87,76.0,11.38,8.65,2.73,5.43,8.7,1224.97,3.92,7.45,228.0
419628,25.12.2016 14:20:00,995.0,8.83,282.39,4.88,76.2,11.36,8.66,2.7,5.43,8.7,1225.14,3.38,5.85,235.8
419629,25.12.2016 14:30:00,995.07,8.84,282.4,4.93,76.4,11.37,8.69,2.68,5.45,8.73,1225.17,2.04,5.21,216.0
419630,25.12.2016 14:40:00,995.05,8.8,282.36,4.95,76.7,11.34,8.7,2.64,5.45,8.74,1225.32,2.44,5.65,228.9
419631,25.12.2016 14:50:00,995.11,8.78,282.34,5.04,77.3,11.32,8.75,2.57,5.49,8.8,1225.45,1.92,5.09,232.5
419632,25.12.2016 15:00:00,995.26,8.75,282.29,5.1,77.8,11.3,8.79,2.51,5.51,8.83,1225.76,2.16,4.24,229.6
419633,25.12.2016 15:10:00,995.43,8.67,282.2,5.15,78.5,11.24,8.82,2.42,5.53,8.86,1226.29,1.4,4.22,217.3
419634,25.12.2016 15:20:00,995.56,8.66,282.18,5.25,79.1,11.23,8.88,2.35,5.57,8.92,1226.47,2.06,4.2,208.9
419635,25.12.2016 15:30:00,995.68,8.66,282.17,5.32,79.5,11.23,8.93,2.3,5.6,8.97,1226.6,1.38,3.84,252.5
419636,25.12.2016 15:40:00,995.66,8.66,282.17,5.38,79.8,11.23,8.96,2.27,5.62,9.0,1226.56,1.68,3.96,195.1
419637,25.12.2016 15:50:00,995.67,8.66,282.17,5.43,80.1,11.23,9.0,2.24,5.64,9.04,1226.56,1.5,3.42,192.0
419638,25.12.2016 16:00:00,995.77,8.66,282.16,5.43,80.1,11.23,9.0,2.24,5.64,9.03,1226.68,1.05,2.44,204.3
419639,25.12.2016 16:10:00,995.85,8.71,282.21,5.48,80.1,11.27,9.03,2.24,5.66,9.06,1226.54,1.07,2.7,311.6
419640,25.12.2016 16:20:00,995.9,8.75,282.24,5.48,79.9,11.3,9.03,2.27,5.66,9.07,1226.43,1.33,3.04,236.1
419641,25.12.2016 16:30:00,995.88,8.79,282.28,5.5,79.8,11.33,9.04,2.29,5.67,9.08,1226.22,2.24,4.28,245.7
419642,25.12.2016 16:40:00,995.87,8.85,282.34,5.55,79.7,11.38,9.07,2.31,5.68,9.1,1225.94,1.31,2.6,214.9
419643,25.12.2016 16:50:00,995.84,8.86,282.36,5.55,79.7,11.38,9.07,2.31,5.69,9.11,1225.86,1.83,5.75,231.1
419644,25.12.2016 17:00:00,995.87,8.93,282.42,5.62,79.7,11.44,9.12,2.32,5.71,9.15,1225.57,1.26,4.0,139.7
419645,25.12.2016 17:10:00,995.75,8.99,282.49,5.7,79.8,11.49,9.17,2.32,5.75,9.2,1225.13,1.79,4.04,264.5
419646,25.12.2016 17:20:00,995.65,9.04,282.55,5.75,79.8,11.52,9.2,2.33,5.77,9.24,1224.78,1.85,5.05,216.5
419647,25.12.2016 17:30:00,995.63,9.12,282.63,5.83,79.8,11.59,9.25,2.34,5.8,9.29,1224.38,1.31,2.84,172.8
419648,25.12.2016 17:40:00,995.74,9.13,282.63,5.84,79.8,11.59,9.25,2.34,5.8,9.29,1224.48,1.05,2.44,53.68
419649,25.12.2016 17:50:00,995.88,9.1,282.59,5.88,80.2,11.57,9.28,2.29,5.82,9.32,1224.77,1.48,3.2,205.6
419650,25.12.2016 18:00:00,995.93,9.04,282.53,6.02,81.3,11.52,9.37,2.16,5.87,9.41,1225.05,1.47,3.64,204.8
419651,25.12.2016 18:10:00,995.83,9.0,282.5,6.12,82.1,11.49,9.44,2.06,5.91,9.48,1225.07,1.61,3.8,208.0
419652,25.12.2016 18:20:00,995.82,9.0,282.5,6.19,82.5,11.49,9.48,2.01,5.94,9.52,1225.03,1.41,3.52,226.2
419653,25.12.2016 18:30:00,995.74,9.0,282.51,6.24,82.8,11.49,9.52,1.98,5.97,9.56,1224.91,1.4,4.2,222.0
419654,25.12.2016 18:40:00,995.87,9.06,282.55,6.3,82.8,11.54,9.55,1.98,5.99,9.59,1224.8,1.8,4.77,218.2
419655,25.12.2016 18:50:00,995.86,9.11,282.6,6.35,82.8,11.58,9.59,1.99,6.01,9.63,1224.56,1.88,4.59,232.9
419656,25.12.2016 19:00:00,995.79,9.13,282.63,6.44,83.2,11.59,9.65,1.95,6.05,9.69,1224.36,1.11,2.56,141.0
419657,25.12.2016 19:10:00,995.7,9.13,282.64,6.46,83.3,11.59,9.66,1.94,6.06,9.7,1224.24,1.53,2.72,148.6
419658,25.12.2016 19:20:00,995.66,9.2,282.71,6.37,82.4,11.65,9.6,2.05,6.02,9.64,1223.92,2.03,3.48,225.2
419659,25.12.2016 19:30:00,995.73,9.3,282.81,6.31,81.5,11.73,9.56,2.17,5.99,9.6,1223.58,1.27,3.2,245.0
419660,25.12.2016 19:40:00,995.87,9.37,282.86,6.27,80.9,11.78,9.53,2.25,5.98,9.57,1223.46,1.85,4.2,206.6
419661,25.12.2016 19:50:00,995.88,9.4,282.89,6.24,80.6,11.81,9.52,2.29,5.97,9.56,1223.36,1.45,2.98,166.6
419662,25.12.2016 20:00:00,996.02,9.4,282.88,6.22,80.5,11.81,9.51,2.3,5.96,9.54,1223.53,1.93,4.65,224.3
419663,25.12.2016 20:10:00,996.08,9.4,282.88,6.24,80.6,11.81,9.52,2.29,5.96,9.55,1223.61,2.25,4.69,210.2
419664,25.12.2016 20:20:00,996.1,9.34,282.82,6.24,80.9,11.76,9.51,2.25,5.96,9.55,1223.89,2.9,7.61,222.4
419665,25.12.2016 20:30:00,996.2,9.31,282.78,6.24,81.1,11.74,9.52,2.22,5.96,9.55,1224.14,1.96,5.29,244.2
419666,25.12.2016 20:40:00,996.23,9.25,282.72,6.27,81.6,11.69,9.54,2.15,5.98,9.57,1224.43,1.41,3.52,242.6
419667,25.12.2016 20:50:00,996.26,9.17,282.63,6.28,82.1,11.63,9.54,2.08,5.98,9.58,1224.82,1.18,3.68,172.1
419668,25.12.2016 21:00:00,996.29,9.14,282.6,6.26,82.1,11.6,9.53,2.08,5.97,9.56,1224.99,1.91,4.18,342.9
419669,25.12.2016 21:10:00,996.37,9.16,282.61,6.17,81.5,11.62,9.47,2.15,5.93,9.5,1225.02,2.05,4.2,252.6
419670,25.12.2016 21:20:00,996.38,9.13,282.58,6.07,81.1,11.59,9.4,2.19,5.89,9.44,1225.2,2.27,6.53,226.9
419671,25.12.2016 21:30:00,996.51,9.07,282.51,6.06,81.4,11.55,9.4,2.15,5.89,9.43,1225.62,3.78,7.53,248.4
419672,25.12.2016 21:40:00,996.69,8.99,282.42,6.07,81.9,11.49,9.41,2.08,5.89,9.44,1226.18,4.27,8.01,243.9
419673,25.12.2016 21:50:00,996.81,8.94,282.36,6.1,82.3,11.45,9.42,2.03,5.9,9.45,1226.54,3.4,6.41,249.5
419674,25.12.2016 22:00:00,996.88,8.85,282.26,6.13,83.0,11.38,9.44,1.93,5.91,9.47,1227.02,2.58,6.25,236.7
419675,25.12.2016 22:10:00,996.85,8.75,282.16,6.19,83.9,11.3,9.48,1.82,5.94,9.51,1227.4,2.77,6.07,236.3
419676,25.12.2016 22:20:00,996.74,8.67,282.09,6.16,84.2,11.24,9.46,1.78,5.93,9.49,1227.62,1.68,4.0,219.1
419677,25.12.2016 22:30:00,996.72,8.66,282.09,6.1,83.9,11.23,9.42,1.81,5.9,9.45,1227.65,3.26,6.85,229.3
419678,25.12.2016 22:40:00,996.88,8.67,282.08,6.06,83.6,11.24,9.4,1.84,5.88,9.43,1227.82,2.33,3.96,235.8
419679,25.12.2016 22:50:00,996.94,8.74,282.15,6.02,83.0,11.29,9.37,1.92,5.87,9.4,1227.6,3.33,5.01,238.7
419680,25.12.2016 23:00:00,997.08,8.81,282.21,5.93,82.1,11.35,9.32,2.03,5.83,9.34,1227.5,2.8,4.61,239.6
419681,25.12.2016 23:10:00,997.15,8.88,282.27,5.88,81.4,11.4,9.28,2.12,5.81,9.31,1227.3,3.29,7.53,234.3
419682,25.12.2016 23:20:00,997.19,8.95,282.34,5.79,80.5,11.45,9.22,2.23,5.77,9.25,1227.06,2.78,4.77,230.0
419683,25.12.2016 23:30:00,997.12,9.0,282.39,5.71,79.8,11.49,9.17,2.32,5.74,9.2,1226.78,2.82,5.45,234.1
419684,25.12.2016 23:40:00,997.14,9.0,282.39,5.69,79.7,11.49,9.16,2.33,5.73,9.19,1226.81,2.37,5.41,224.5
419685,25.12.2016 23:50:00,997.08,8.93,282.33,5.64,79.8,11.44,9.13,2.31,5.71,9.15,1227.06,2.51,4.27,231.1
419686,26.12.2016 00:00:00,997.08,8.92,282.32,5.63,79.8,11.43,9.12,2.31,5.71,9.15,1227.11,2.98,5.49,234.8
419687,26.12.2016 00:10:00,997.18,8.86,282.25,5.57,79.8,11.38,9.08,2.3,5.69,9.11,1227.5,1.96,3.44,231.7
419688,26.12.2016 00:20:00,997.33,8.86,282.24,5.55,79.7,11.38,9.07,2.31,5.68,9.1,1227.7,2.6,4.69,228.9
419689,26.12.2016 00:30:00,997.27,8.88,282.26,5.54,79.5,11.4,9.06,2.34,5.67,9.09,1227.54,3.6,5.81,236.8
419690,26.12.2016 00:40:00,997.43,8.92,282.29,5.52,79.2,11.43,9.05,2.38,5.67,9.08,1227.57,3.52,5.53,232.8
419691,26.12.2016 00:50:00,997.54,8.9,282.26,5.5,79.2,11.42,9.04,2.37,5.66,9.06,1227.8,3.15,5.61,223.8
419692,26.12.2016 01:00:00,997.53,8.93,282.29,5.46,78.8,11.44,9.01,2.42,5.64,9.04,1227.67,2.79,4.57,221.6
419693,26.12.2016 01:10:00,997.54,8.95,282.31,5.44,78.6,11.45,9.0,2.45,5.63,9.03,1227.6,2.9,6.83,232.7
419694,26.12.2016 01:20:00,997.53,8.97,282.33,5.43,78.4,11.47,8.99,2.48,5.63,9.01,1227.51,2.4,5.93,225.5
419695,26.12.2016 01:30:00,997.62,8.99,282.34,5.41,78.2,11.49,8.98,2.5,5.62,9.0,1227.54,2.61,6.89,233.4
419696,26.12.2016 01:40:00,997.66,9.0,282.35,5.38,78.0,11.49,8.96,2.53,5.61,8.99,1227.55,3.07,4.93,231.8
419697,26.12.2016 01:50:00,997.57,9.01,282.37,5.34,77.7,11.5,8.94,2.56,5.59,8.96,1227.41,1.9,3.84,226.4
419698,26.12.2016 02:00:00,997.61,8.96,282.31,5.34,78.0,11.46,8.94,2.52,5.59,8.96,1227.67,2.23,4.37,225.0
419699,26.12.2016 02:10:00,997.73,8.96,282.3,5.34,78.0,11.46,8.94,2.52,5.59,8.96,1227.82,4.24,8.81,232.2
419700,26.12.2016 02:20:00,997.69,8.96,282.31,5.34,78.0,11.46,8.94,2.52,5.59,8.96,1227.77,2.21,5.17,219.9
419701,26.12.2016 02:30:00,997.72,8.93,282.27,5.31,78.0,11.44,8.92,2.52,5.58,8.94,1227.95,2.12,5.17,216.1
419702,26.12.2016 02:40:00,997.69,8.98,282.33,5.25,77.4,11.48,8.88,2.59,5.56,8.9,1227.7,4.93,7.57,211.6
419703,26.12.2016 02:50:00,997.58,8.98,282.34,5.25,77.4,11.48,8.88,2.59,5.56,8.91,1227.57,4.54,6.89,207.5
419704,26.12.2016 03:00:00,997.43,8.93,282.3,5.22,77.5,11.44,8.86,2.57,5.55,8.89,1227.61,4.19,7.35,209.4
419705,26.12.2016 03:10:00,997.38,8.94,282.31,5.18,77.2,11.45,8.84,2.61,5.53,8.86,1227.53,4.96,6.97,204.8
419706,26.12.2016 03:20:00,997.43,9.0,282.37,5.14,76.7,11.49,8.82,2.68,5.52,8.84,1227.34,5.31,7.05,203.8
419707,26.12.2016 03:30:00,997.46,9.0,282.37,5.14,76.7,11.49,8.82,2.68,5.52,8.84,1227.37,4.45,6.53,205.6
419708,26.12.2016 03:40:00,997.41,9.0,282.37,5.12,76.6,11.49,8.8,2.69,5.51,8.83,1227.31,3.98,6.15,206.7
419709,26.12.2016 03:50:00,997.42,9.03,282.4,5.11,76.4,11.52,8.8,2.72,5.51,8.82,1227.2,2.86,4.53,207.1
419710,26.12.2016 04:00:00,997.24,9.02,282.4,5.09,76.3,11.51,8.78,2.73,5.5,8.81,1227.03,3.24,5.77,207.8
419711,26.12.2016 04:10:00,997.1,9.09,282.48,5.08,75.9,11.56,8.78,2.79,5.49,8.8,1226.56,4.19,6.73,206.6
419712,26.12.2016 04:20:00,997.08,9.08,282.48,5.07,75.9,11.56,8.77,2.78,5.49,8.8,1226.58,4.64,7.19,207.9
419713,26.12.2016 04:30:00,997.05,9.07,282.47,5.06,75.9,11.55,8.76,2.78,5.49,8.79,1226.58,5.03,7.89,207.0
419714,26.12.2016 04:40:00,996.96,9.13,282.54,5.06,75.6,11.59,8.77,2.83,5.49,8.79,1226.22,5.84,8.17,207.0
419715,26.12.2016 04:50:00,996.89,9.11,282.52,5.04,75.6,11.58,8.75,2.83,5.48,8.78,1226.21,4.72,6.97,202.0
419716,26.12.2016 05:00:00,996.95,9.07,282.48,5.0,75.6,11.55,8.73,2.82,5.46,8.76,1226.48,3.48,5.73,201.3
419717,26.12.2016 05:10:00,996.95,9.07,282.48,5.0,75.6,11.55,8.73,2.82,5.46,8.76,1226.48,3.49,5.37,195.2
419718,26.12.2016 05:20:00,996.85,9.03,282.44,4.98,75.7,11.52,8.72,2.8,5.46,8.75,1226.53,2.58,5.45,196.9
419719,26.12.2016 05:30:00,996.75,9.0,282.42,4.97,75.8,11.49,8.71,2.78,5.45,8.74,1226.54,2.56,4.08,205.9
419720,26.12.2016 05:40:00,996.66,8.99,282.42,5.0,76.0,11.49,8.73,2.76,5.47,8.76,1226.46,2.34,4.61,208.6
419721,26.12.2016 05:50:00,996.59,8.91,282.35,5.0,76.4,11.42,8.73,2.7,5.47,8.76,1226.73,3.58,6.45,205.1
419722,26.12.2016 06:00:00,996.57,8.93,282.37,5.05,76.6,11.44,8.76,2.68,5.49,8.79,1226.6,3.11,5.61,213.0
419723,26.12.2016 06:10:00,996.69,8.93,282.36,5.11,76.9,11.44,8.8,2.64,5.51,8.83,1226.74,3.5,6.09,209.8
419724,26.12.2016 06:20:00,996.75,9.0,282.42,5.1,76.5,11.49,8.79,2.7,5.5,8.82,1226.5,3.34,4.57,192.2
419725,26.12.2016 06:30:00,996.67,8.98,282.41,5.12,76.7,11.48,8.8,2.67,5.51,8.83,1226.49,3.51,5.33,196.2
419726,26.12.2016 06:40:00,996.57,8.88,282.32,5.12,77.2,11.4,8.8,2.6,5.51,8.83,1226.81,3.59,5.45,196.2
419727,26.12.2016 06:50:00,996.42,8.8,282.25,5.11,77.6,11.34,8.8,2.54,5.51,8.83,1226.97,4.54,7.69,203.6
419728,26.12.2016 07:00:00,996.53,8.73,282.17,5.06,77.7,11.28,8.77,2.52,5.49,8.8,1227.42,4.18,5.97,205.7
419729,26.12.2016 07:10:00,996.53,8.71,282.15,5.06,77.8,11.27,8.77,2.5,5.49,8.8,1227.51,3.75,6.73,208.8
419730,26.12.2016 07:20:00,996.45,8.68,282.13,5.05,77.9,11.25,8.76,2.49,5.49,8.79,1227.53,3.47,7.57,211.7
419731,26.12.2016 07:30:00,996.26,8.67,282.13,5.06,78.0,11.24,8.77,2.47,5.49,8.8,1227.35,5.93,9.49,217.4
419732,26.12.2016 07:40:00,996.32,8.61,282.07,5.08,78.4,11.19,8.78,2.42,5.5,8.81,1227.68,4.92,7.81,216.8
419733,26.12.2016 07:50:00,996.35,8.53,281.98,5.09,78.9,11.13,8.78,2.35,5.5,8.82,1228.06,4.55,7.01,219.2
419734,26.12.2016 08:00:00,996.33,8.48,281.94,5.1,79.2,11.09,8.79,2.31,5.5,8.82,1228.25,3.48,5.99,220.2
419735,26.12.2016 08:10:00,996.38,8.44,281.89,5.11,79.5,11.06,8.8,2.27,5.51,8.83,1228.48,2.74,5.53,221.8
419736,26.12.2016 08:20:00,996.3,8.42,281.88,5.09,79.5,11.05,8.78,2.27,5.5,8.82,1228.47,3.41,5.25,216.0
419737,26.12.2016 08:30:00,996.4,8.44,281.89,5.11,79.5,11.06,8.8,2.27,5.51,8.83,1228.51,2.91,4.85,218.9
419738,26.12.2016 08:40:00,996.54,8.47,281.91,5.12,79.4,11.09,8.8,2.28,5.51,8.83,1228.55,3.07,4.69,222.7
